Company,Symbol,BalanceSheetURL,ProfitLossURL
Affle (India) Limited,AFFLE,https://www.moneycontrol.com/financials/affleindialimited/balance-sheetVI/AFFLE#AFFLE,https://www.moneycontrol.com/financials/affleindialimited/profit-lossVI/AFFLE#AFFLE
Agarwal Industrial Corporation Limited,AGARIND,https://www.moneycontrol.com/financials/agarwalindustrialcorporationlimited/balance-sheetVI/AGARIND#AGARIND,https://www.moneycontrol.com/financials/agarwalindustrialcorporationlimited/profit-lossVI/AGARIND#AGARIND
AGC Networks Limited,AGCNET,https://www.moneycontrol.com/financials/agcnetworkslimited/balance-sheetVI/AGCNET#AGCNET,https://www.moneycontrol.com/financials/agcnetworkslimited/profit-lossVI/AGCNET#AGCNET
Agri-Tech (India) Limited,AGRITECH,https://www.moneycontrol.com/financials/agri-techindialimited/balance-sheetVI/AGRITECH#AGRITECH,https://www.moneycontrol.com/financials/agri-techindialimited/profit-lossVI/AGRITECH#AGRITECH
Agro Phos India Limited,AGROPHOS,https://www.moneycontrol.com/financials/agrophosindialimited/balance-sheetVI/AGROPHOS#AGROPHOS,https://www.moneycontrol.com/financials/agrophosindialimited/profit-lossVI/AGROPHOS#AGROPHOS
Asian Hotels (East) Limited,AHLEAST,https://www.moneycontrol.com/financials/asianhotelseastlimited/balance-sheetVI/AHLEAST#AHLEAST,https://www.moneycontrol.com/financials/asianhotelseastlimited/profit-lossVI/AHLEAST#AHLEAST
Ahluwalia Contracts (India) Limited,AHLUCONT,https://www.moneycontrol.com/financials/ahluwaliacontractsindialimited/balance-sheetVI/AHLUCONT#AHLUCONT,https://www.moneycontrol.com/financials/ahluwaliacontractsindialimited/profit-lossVI/AHLUCONT#AHLUCONT
Asian Hotels (West) Limited,AHLWEST,https://www.moneycontrol.com/financials/asianhotelswestlimited/balance-sheetVI/AHLWEST#AHLWEST,https://www.moneycontrol.com/financials/asianhotelswestlimited/profit-lossVI/AHLWEST#AHLWEST
AIA Engineering Limited,AIAENG,https://www.moneycontrol.com/financials/aiaengineeringlimited/balance-sheetVI/AIAENG#AIAENG,https://www.moneycontrol.com/financials/aiaengineeringlimited/profit-lossVI/AIAENG#AIAENG
Airan Limited,AIRAN,https://www.moneycontrol.com/financials/airanlimited/balance-sheetVI/AIRAN#AIRAN,https://www.moneycontrol.com/financials/airanlimited/profit-lossVI/AIRAN#AIRAN
Ajanta Pharma Limited,AJANTPHARM,https://www.moneycontrol.com/financials/ajantapharmalimited/balance-sheetVI/AJANTPHARM#AJANTPHARM,https://www.moneycontrol.com/financials/ajantapharmalimited/profit-lossVI/AJANTPHARM#AJANTPHARM
Ajmera Realty & Infra India Limited,AJMERA,https://www.moneycontrol.com/financials/ajmerarealtyinfraindialimited/balance-sheetVI/AJMERA#AJMERA,https://www.moneycontrol.com/financials/ajmerarealtyinfraindialimited/profit-lossVI/AJMERA#AJMERA
